#PSTAR: Stopping Powers and Range Tables for Protons
#
#COPPER                                                                  
#
#Kinetic   Electron. 
#Energy    Stp. Pow. 
#MeV       MeV cm2/g 

1.000E+00 1.183E+02 
1.250E+00 1.047E+02 
1.500E+00 9.443E+01 
1.750E+00 8.645E+01 
2.000E+00 7.987E+01 
2.250E+00 7.425E+01 
2.500E+00 6.955E+01 
2.750E+00 6.552E+01 
3.000E+00 6.196E+01 
3.500E+00 5.607E+01 
4.000E+00 5.133E+01 
4.500E+00 4.743E+01 
5.000E+00 4.416E+01 
5.500E+00 4.136E+01 
6.000E+00 3.894E+01 
6.500E+00 3.683E+01 
7.000E+00 3.496E+01 
7.500E+00 3.329E+01 
8.000E+00 3.180E+01 
8.500E+00 3.045E+01 
9.000E+00 2.922E+01 
9.500E+00 2.810E+01 
1.000E+01 2.708E+01 
1.250E+01 2.299E+01 
1.500E+01 2.009E+01 
1.750E+01 1.790E+01 
2.000E+01 1.619E+01 
2.500E+01 1.368E+01 
2.750E+01 1.272E+01 
3.000E+01 1.191E+01 
3.500E+01 1.059E+01 
4.000E+01 9.573E+00 
4.500E+01 8.756E+00 
5.000E+01 8.086E+00 
5.500E+01 7.527E+00 
6.000E+01 7.052E+00 
6.500E+01 6.644E+00 
7.000E+01 6.288E+00 
7.500E+01 5.976E+00 
8.000E+01 5.700E+00 
8.500E+01 5.453E+00 
9.000E+01 5.232E+00 
9.500E+01 5.032E+00 
1.000E+02 4.850E+00 
1.250E+02 4.146E+00 
1.500E+02 3.663E+00 
1.750E+02 3.310E+00 
2.000E+02 3.041E+00 
2.250E+02 2.829E+00 
2.500E+02 2.658E+00 
2.750E+02 2.518E+00 
3.000E+02 2.400E+00 
3.500E+02 2.214E+00 
4.000E+02 2.074E+00 
4.500E+02 1.966E+00 
5.000E+02 1.880E+00 
5.500E+02 1.810E+00 
6.000E+02 1.753E+00 
6.500E+02 1.706E+00 
7.000E+02 1.666E+00 
7.500E+02 1.632E+00 
8.000E+02 1.603E+00 
8.500E+02 1.578E+00 
9.000E+02 1.556E+00 
9.500E+02 1.537E+00 
1.000E+03 1.521E+00 
1.500E+03 1.433E+00 
2.000E+03 1.407E+00 
2.500E+03 1.404E+00 
3.000E+03 1.409E+00 
4.000E+03 1.430E+00 
5.000E+03 1.454E+00 
6.000E+03 1.476E+00 
7.000E+03 1.498E+00 
8.000E+03 1.517E+00 
9.000E+03 1.535E+00 
1.000E+04 1.552E+00 
