#ESTAR: Stopping Powers and Range Tables for Electrons

#COPPER                                                                    

#Kinetic   Collision Total     
#Energy    Stp. Pow. Stp. Pow. 
#MeV       MeV cm2/g MeV cm2/g 

1.000E-02 1.318E+01 1.319E+01 
1.250E-02 1.127E+01 1.128E+01 
1.500E-02 9.904E+00 9.917E+00 
1.750E-02 8.874E+00 8.887E+00 
2.000E-02 8.066E+00 8.080E+00 
2.500E-02 6.877E+00 6.892E+00 
3.000E-02 6.040E+00 6.055E+00 
3.500E-02 5.416E+00 5.431E+00 
4.000E-02 4.931E+00 4.947E+00 
4.500E-02 4.544E+00 4.560E+00 
5.000E-02 4.226E+00 4.242E+00 
5.500E-02 3.961E+00 3.977E+00 
6.000E-02 3.736E+00 3.753E+00 
7.000E-02 3.375E+00 3.392E+00 
8.000E-02 3.098E+00 3.114E+00 
9.000E-02 2.877E+00 2.894E+00 
1.000E-01 2.698E+00 2.715E+00 
1.250E-01 2.369E+00 2.387E+00 
1.500E-01 2.146E+00 2.164E+00 
1.750E-01 1.984E+00 2.002E+00 
2.000E-01 1.861E+00 1.881E+00 
2.500E-01 1.691E+00 1.711E+00 
3.000E-01 1.579E+00 1.601E+00 
3.500E-01 1.501E+00 1.524E+00 
4.000E-01 1.444E+00 1.469E+00 
4.500E-01 1.402E+00 1.428E+00 
5.000E-01 1.370E+00 1.398E+00 
5.500E-01 1.345E+00 1.375E+00 
6.000E-01 1.326E+00 1.357E+00 
7.000E-01 1.298E+00 1.333E+00 
8.000E-01 1.281E+00 1.319E+00 
9.000E-01 1.270E+00 1.312E+00 
1.000E+00 1.263E+00 1.309E+00 
1.250E+00 1.257E+00 1.313E+00 
1.500E+00 1.259E+00 1.327E+00 
1.750E+00 1.265E+00 1.344E+00 
2.000E+00 1.273E+00 1.364E+00 
2.500E+00 1.289E+00 1.405E+00 
3.000E+00 1.305E+00 1.448E+00 
3.500E+00 1.320E+00 1.490E+00 
4.000E+00 1.334E+00 1.531E+00 
4.500E+00 1.346E+00 1.573E+00 
5.000E+00 1.358E+00 1.613E+00 
5.500E+00 1.368E+00 1.653E+00 
6.000E+00 1.378E+00 1.693E+00 
7.000E+00 1.396E+00 1.771E+00 
8.000E+00 1.411E+00 1.849E+00 
9.000E+00 1.424E+00 1.925E+00 
1.000E+01 1.436E+00 2.001E+00 
1.250E+01 1.462E+00 2.190E+00 
1.500E+01 1.482E+00 2.377E+00 
1.750E+01 1.499E+00 2.563E+00 
2.000E+01 1.513E+00 2.749E+00 
2.500E+01 1.537E+00 3.120E+00 
3.000E+01 1.555E+00 3.491E+00 
3.500E+01 1.570E+00 3.861E+00 
4.000E+01 1.582E+00 4.233E+00 
4.500E+01 1.593E+00 4.605E+00 
5.000E+01 1.603E+00 4.978E+00 
5.500E+01 1.611E+00 5.351E+00 
6.000E+01 1.619E+00 5.725E+00 
7.000E+01 1.632E+00 6.476E+00 
8.000E+01 1.643E+00 7.229E+00 
9.000E+01 1.653E+00 7.983E+00 
1.000E+02 1.661E+00 8.740E+00 
1.250E+02 1.679E+00 1.064E+01 
1.500E+02 1.694E+00 1.254E+01 
1.750E+02 1.706E+00 1.445E+01 
2.000E+02 1.716E+00 1.637E+01 
2.500E+02 1.733E+00 2.020E+01 
3.000E+02 1.747E+00 2.404E+01 
3.500E+02 1.758E+00 2.789E+01 
4.000E+02 1.768E+00 3.174E+01 
4.500E+02 1.776E+00 3.560E+01 
5.000E+02 1.784E+00 3.946E+01 
5.500E+02 1.791E+00 4.332E+01 
6.000E+02 1.797E+00 4.718E+01 
7.000E+02 1.808E+00 5.491E+01 
8.000E+02 1.817E+00 6.265E+01 
9.000E+02 1.826E+00 7.039E+01 
1.000E+03 1.833E+00 7.813E+01 
