#energy(MeV) 		collision loss 			total loss
#		 ----------------------------MeV*cm2/g----------------
0.01 	      22.3796       22.3835 
0.05	      6.56225       6.56626 
0.1 	      4.092         4.09621 
0.5 	      2.02467       2.03191    
1   	      1.84616       1.85894 
3	      1.86319 	    1.9061   
5	      1.91563 	    1.99492     
7      	      1.95277       2.07155 
9	      1.98019       2.14052 
10     	      1.99147       2.17317 
30	      2.09865       2.74599 
50	      2.14345 	    3.28798 
70	      2.17241       3.82736 
90	      2.194         4.36845 
100 	      2.20304       4.63987 
300 	      2.29706       10.0954 
500	      2.34068       15.5679
700 	      2.36939       21.05 
900	      2.39082 	    26.5436 
1000	      2.39981 	    29.2939 

