#energy(MeV)	ionization(MeV/cm)	  brems(MeV/cm)	coulomb		total(MeV/cm)   

1.0 	      11.3135 	      		409.208e-3	    0 	      11.7227        
11.3 	      13.0031 	      		5.77317 	    0 	      18.7763 
21.6 	      13.6259 	      		11.952 	            0  	      25.578 
31.9 	      13.9755 	      		18.3952 	    0 	      32.3707 
42.24 	      14.2144         		24.9834 	    0 	      39.1978 
52.55 	      14.3942 	      		31.6685 	    0 	      46.0627 
62.86 	      14.5375 	      		38.426 	            0  	      52.9635 
73.17 	      14.6562 	      		45.2357 	    0 	      59.8919 
83.48 	      14.7573 	      		52.0984 	    0  	      66.8557 
93.79 	      14.8451 	      		58.9894 	    0  	      73.8344 
104.10 	      14.9226 	      		65.9068 	    0  	      80.8294 
114.41 	      14.9919 	      		72.8329 	    0 	      87.8248 
124.72	      15.0545 	      		79.7927 	    0  	      94.8472 
135.03 	      15.1116 	      		86.7839 	    0 	      101.895 
145.34 	      15.164 	      		93.8049 	    0  	      108.969 
155.65 	      15.2124 	      		100.818 	    0  	      116.03 
165.96 	      15.2574 	      		107.825 	    0  	      123.083 
176.27 	      15.2994 	      		114.852             0  	      130.151 
186.58 	      15.3387 	      		121.897 	    0  	      137.236 
196.89	      15.3758 	      		128.961 	    0  	      144.337 
207.20 	      15.4107 	      		135.997 	    0  	      151.408 

