#Z         phot(b)           compt           Rayl	 total			phot	compt		 rayl		total
#       -----------------------------100 kev-------------------------	   --------------------------1 Mev-------------------------------
1  	1.62162e-6	492.999e-3	461.383e-6 	493.462e-3	   1.9683e-9    212.628e-3      4.62602e-6      212.633e-3 
6       20.5531e-3 	2.91833  	74.1544e-3  	3.01304   	   26.4894e-6   1.27589         768.366e-6      1.27668 
11  	371.463e-3 	5.28016   	386.885e-3  	6.0385   	   522.502e-6 	2.33934         4.14588e-3      2.34401 
13   	813.772e-3 	6.2079   	594.068e-3  	7.61574   	   1.18332e-3  	2.76478  	6.44952e-3  	2.77241 
14   	1.1158   	6.66824   	716.942e-3  	8.50099  	   1.69568e-3  	2.97751   	7.83294e-3  	2.98704 
20   	5.96791   	9.38272   	1.77904   	17.1297   	   9.43932e-3  	4.25406   	19.9839e-3  	4.28349 
22      8.83804   	10.2701   	2.27054   	21.3787   	   14.8281e-3  	4.67964   	25.6563e-3  	4.72013 
26 	19.0722   	12.02   	3.51563   	34.6079    	   32.6203e-3  	5.5309   	40.2246e-3  	5.60375       
27   	22.2747   	12.4525  	3.89235  	38.6196    	   38.9183e-3  	5.74373   	44.6507e-3  	5.8273 
29   	30.462   	13.3117   	4.72997   	48.5037    	   54.3351e-3  	6.16943   	54.4763e-3  	6.27824 
37   	85.1985   	16.675   	8.96372   	110.837   	   168.225e-3  	7.87251   	105.2e-3  	8.14594 
42   	143.129  	18.7222   	12.4087   	174.259    	   301.172e-3  	8.9372   	147.14e-3 	9.38551 
46   	206.289   	20.3324   	15.7267   	242.348   	   456.361e-3  	9.78909   	187.735e-3  	10.4332 
47   	225.053   	20.7314   	16.6085  	262.393    	   503.148e-3  	10.0021   	198.768e-3  	10.704 
48  	244.559   	21.129   	17.5497   	283.238    	   553.567e-3  	10.2151   	210.45e-3  	10.9791
50   	286.389   	21.9201   	19.5155         327.824    	   666.435e-3  	10.6411   	234.474e-3  	11.542 
55   	415.129   	23.8759   	24.9767   	463.981            1.02828   	11.7063   	302.519e-3  	13.0371
60    	588.639   	25.8029   	31.2526   	645.695            1.52278   	12.7717   	383.082e-3  	14.6776
65   	791.17   	27.7046   	38.4249   	857.3    	   2.1829   	13.8373   	477.984e-3  	16.4982
70    	1032.04   	29.5847   	46.4794   	1108.11            3.04823   	14.9031   	589.668e-3  	18.541 
79   	1586.51   	32.9254   	61.0962   	1680.53   	   5.25989   	16.8221   	825.204e-3  	22.9072
80   	1658.6   	33.2939   	62.5609   	1754.46    	   5.56804  	17.0354   	853.738e-3  	23.4571
90   	573.875   	36.9589   	77.5112   	688.345    	   9.49454   	19.1684   	1.1778  	29.8407
92   	634.88   	37.6891   	83.8281   	756.397    	   10.4912   	19.5951   	1.25372   	31.34 
94   	700.339   	38.4188   	89.9559   	828.714    	   11.5676  	20.0218   	1.32953  	32.919 
97   	809.417   	39.5132   	99.0037   	947.934    	   13.3543   	20.662   	1.45181 	35.4681
98   	848.295   	39.8781   	102.131   	990.304    	   13.9894   	20.8754   	1.49524   	36.36 
