#energy(MeV)     ion Ioni(MeV cm2/g)	total
0.01		      234.875 	  234.875 
0.1	   	      894.372 	  894.372 
1		      1.22495e3	  1.22495e3
3	  	      820.995     820.995 
5		      604.796     604.796 
7		      482.397     482.397 
9		      404.425     404.425 
1e1		      376.155     376.155 
3e1		      166.353     166.353 
5e1	   	      110.989 	  110.989 
7e1  	              85.6032     85.6032
9e1		      70.6006     70.6006 
1e2		      65.0481     65.0481 
3e2	   	      27.8504     27.8504 
5e2	   	      19.1855     19.1855 
7e2	  	      15.263      15.263  
9e2   		      13.0222     13.0222 
1e3  	 	      12.2281     12.2281 
