#energy(MeV)	  ioni			total
0.01		 98.3786   98.3786 
0.1       	 325.544   325.544 
1   	         704.847   704.847 
3    	         547.996   547.996                
5		 430.997   430.997 
7                353.698   353.698 
9    	         302.776   302.776 
1e1              283.014   283.014 
3e1 	         131.192   131.192
5e1              90.0165   90.0165 
7e1  	         69.0831   69.0831
9e1              57.5158   57.5158
1e2   	         53.2345   53.2345
3e2   	         23.5055   23.5055 
5e2  	         16.2728   16.2728
7e2  	         13.031    13.031 
9e2 	         11.1687   11.1687 
1e3  	         10.504    10.504  
