#energy(MeV)		ioni		brems(MeV*cm2/g)	pp(MeV*cm2/g)	    coulomb	total(MeV*cm2/g)
1e-5        	      10.3996 	        0           		0  	            0  	      	10.3996 
5e-5         	      23.2542 	        0             		0  	            0  	      	23.2542 
7e-5       	      27.5148           0              		0  	            0  	      	27.5148 
1e-4       	      32.8864 	        0  	            	0  	            0        	32.8864 
5e-4      	      73.5363 	        0  	            	0  	            0        	73.5363 
7e-4      	      87.0094           0  	            	0             	    0        	87.0094 
1e-3                  103.996 	        0             		0              	    0        	103.996
5e-3       	      187.811 	        0            		0                   0        	187.811 
7e-3                  199.727 	        0             		0                   0        	199.727 
1e-2     	      207.323 	        0              		0                   0       	207.323 
5e-2      	      172.81            0  	            	0                   0  	        172.81 
7e-2                  152.136 	        0  	            	0  	            0        	152.136 
1e-1      	      128.59 	        0  	            	0                   0         	128.59 
5e-1      	      47.6809 	        0              		0                   0  	      	47.6809 
7e-1      	      37.9531           0  	            	0                   0  	      	37.9531 
1      	              29.4395           0              		0  	            0        	29.4395 
5      	              8.80865           0              		0                   0  	      	8.80865 
7                     6.84721           0              		0                   0  	      	6.84721 
1e1      	      5.25896           0  	            	0  	            0        	5.25896 
7e1                   1.73128           0  	            	0  	            0        	1.73128 
1e2                   1.56061           0              		0  	            0  	      	1.56061 
1e3      	      1.52933           0  	            	0  	            0  	      	1.52933 
1e4      	      1.89065      15.3646e-3        	    16.227e-3	            0  	      	1.92224 
1e5      	      2.15349      242.245e-3 	      	   342.698e-3	            0  	      	2.73843 
1e6                   2.36842      3.11664        	    4.5184 	            0  	      	10.0035 
1e7                   2.59554      34.5489 	      	   48.7887 	            0  	      	85.9331 
 

