#energy(MeV)	ioni		total
1      	      267.118            267.118
3  	      118.725            118.725 
5      	      79.5872 	         79.5872 
7     	      60.8838 	         60.8838 
9      	      49.7565            49.7565 
1e1    	      45.6911            45.6911 
3e1           18.6945            18.6945 
5e1           12.3982            12.3982 
7e1           9.5189             9.5189 
9e1           7.85419            7.85419 
1e2    	      7.2583             7.2583 
3e2    	      3.5067             3.5067 
5e2           2.73346	         2.73346 
7e2           2.41778            2.41778 
9e2           2.25676	         2.25676
1e3           2.20483	         2.20483 

